Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
C2E001,2:51:58,Molly,Attack,12,7,,,,Sword
C2E001,2:52:07,Molly,Attack,21,16,,,,Sword
C2E001,2:52:16,Molly,Damage,4,,,4 to Creature 2,,
C2E001,2:52:26,Molly,Damage,9,,,9 (6 + 3 Cold) to Creature 2,,
C2E001,2:53:22,Beau,Attack,16,10,,,,Unarmed Strike
C2E001,2:53:37,Beau,Damage,6,,,6 to Creature 2,,
C2E001,2:54:20,Beau,Attack,25,19,,,,Unarmed Strike
C2E001,2:54:21,Beau,Attack,24,18,,,,Unarmed Strike
C2E001,2:54:30,Beau,Damage,13,,,13 to Creature 2,1,HDYWTDT
C2E001,2:57:07,Jester,Healing,7,,,,,"Cure Wounds (1st), Beau heals 7 points"
C2E001,2:57:13,Jester,Healing,10,,,,,"Cure Wounds (1st), Molly heals 10 points"
C2E001,2:58:57,Jester,Deception,19,16,,,,
C2E001,3;00:16,Jester,Investigation,14,13,,,,
C2E001,3:02:19,Molly,Deception,8,6,,,,
C2E001,3:02:38,Jester,Sleight of Hand,Nat1,1,,,,
C2E001,3:03:39,Jester,Deception,16,13,,,,
C2E001,3:08:55,Molly,Deception,Nat1,1,,,,
C2E002,0:16:59,Beau,Stealth,17,11,,,,
C2E002,0:18:05,Beau,Perception,21,18,,,,
C2E002,0:20:05,Beau,Animal Handling,11,8,,,,
C2E002,0:20:45,Beau,Stealth,19,13,,,,
C2E002,0:21:36,Beau,Stealth,10,4,,,,
C2E002,0:25:10,Beau,Athletics,10,8,,,,
C2E002,0:31:12,Molly,Persuasion,Nat20,20,,,,
C2E002,0:40:49,Fjord,Persuasion,16,12,,,,
C2E002,0:42:40,Fjord,Deception,24,18,,,,
C2E002,0:54:52,Beau,Insight,Nat20,20,,,,
C2E002,1:02:01,Beau,Investigation,16,15,,,,
C2E002,1:02:02,Molly,Investigation,16,16,,,,
C2E002,1:06:14,Nott,Sleight of Hand,11,3,,,,
C2E002,1:10:22,Beau,Perception,21,18,,,,
C2E002,1:18:12,Jester,Medicine,17,12,,,,
C2E002,1:25:42,Fjord,Insight,15,17,,,,
C2E002,1:25:50,Molly,Deception,Unknown,Unknown,,,,
C2E002,1:34:01,Jester,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
C2E002,1:34:01,Jester,Dexterity,15,12,,,,With advantage
C2E002,1:36:12,Molly,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
C2E002,1:36:12,Molly,Dexterity,Nat20,20,,,,With advantage
C2E002,1:40:13,Molly,Perception,14,11,,,,
C2E002,1:41:09,Fjord,Performance,20,16,,,,
C2E002,1:41:13,Beau,Performance,16,15,,,,
C2E002,1:41:47,Molly,Performance,Nat20,20,,,,
C2E002,1:45:05,Jester,Investigation,16,15,,,,
C2E002,1:50:06,Jester,Deception,17,14,,,,
C2E002,1:54:05,Jester,Investigation,12,11,,,,
C2E002,2:22:47,Jester,Perception,11,8,,,,
C2E002,2:22:50,Fjord,Perception,11,11,,,,
C2E002,2:31:47,Molly,Nature,9,9,,,,
C2E002,2:38:48,Caleb,Investigation,12,6,,,,With advantage
C2E002,2:38:48,Caleb,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
C2E002,2:44:55,Caleb,Investigation,21,15,,,,
C2E002,2:45:02,Nott,Investigation,21,16,,,,
C2E002,2:51:05,Nott,Sleight of Hand,22,14,,,,
C2E002,2:51:55,Nott,Sleight of Hand,20,12,,,,
C2E002,3:07:31,Nott,Stealth,21,13,,,,
C2E002,3:07:31,Fjord,Stealth,15,15,,,,
C2E002,3:07:31,Beau,Stealth,19,13,,,,
C2E002,3:07:31,Molly,Stealth,17,14,,,,
C2E002,3:07:31,Jester,Stealth,21,18,,,,
C2E002,3:07:31,Caleb,Stealth,12,11,,,,
C2E002,3:09:14,Jester,Perception,Nat1,1,,,,
C2E002,3:09:14,Nott,Perception,19,19,,,,
C2E002,3:09:14,Molly,Perception,12,9,,,,
C2E002,3:09:14,Fjord,Perception,9,9,,,,
C2E002,3:09:14,Beau,Perception,18,15,,,,
C2E002,3:09:14,Caleb,Perception,10,7,,,,
C2E002,3:10:55,Molly,Intelligence,17,17,,,,
C2E002,3:12:44,Jester,Performance,4,3,,,,
C2E002,3:13:38,Nott,Stealth,13,5,,,,
C2E002,3:13:38,Fjord,Stealth,9,9,,,,
C2E002,3:13:38,Beau,Stealth,9,3,,,,
C2E002,3:13:38,Molly,Stealth,7,4,,,,
C2E002,3:13:38,Jester,Stealth,19,16,,,,
C2E002,3:13:38,Caleb,Stealth,15,14,,,,
C2E002,3:15:48,Nott,Deception,0,3,,,,Disregarded due to advantage
C2E002,3:15:48,Nott,Deception,4,7,,,,With advantage
C2E002,3:17:42,Caleb,Deception,Nat20,20,,,,
C2E002,3:22:18,Fjord,Deception,13,7,,,,
C2E002,3:24:44,Caleb,Religion,10,,,,,
C2E002,3:25:11,Fjord,Investigation,16,12,,,,
C2E002,3:25:11,Caleb,Investigation,10,4,,,,
C2E002,3:25:55,Fjord,Religion,10,8,,,,
C2E002,3:27:18,Beau,Stealth,21,15,,,,
C2E002,3:27:18,Molly,Stealth,17,14,,,,
C2E002,3:27:18,Jester,Stealth,18,15,,,,
C2E002,3:27:18,Nott,Stealth,25,17,,,,
C2E002,3:39:00,Nott,Stealth,21,13,,,,
C2E002,3:39:01,Beau,Stealth,13,7,,,,
C2E002,3:39:03,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C2E002,3:39:03,Molly,Stealth,13,10,,,,With advantage
C2E002,3:39:06,Jester,Stealth,12,9,,,,
C2E002,3:41:37,Beau,Insight,15,10,,,,
C2E002,3:42:00,Nott,Stealth,23,15,,,,
C2E002,3:42:00,Jester,Stealth,9,6,,,,
C2E002,3:44:04,Jester,Persuasion,5,2,,,,
C2E002,3:47:01,Nott,Perception,Nat1,1,,,,
C2E002,3:44:04,Jester,Perception,17,14,,,,
C2E002,3:57:08,Beau,Deception,15,12,,,,
C2E002,3:58:25,Nott,Stealth,22,14,,,,
C2E002,3:58:25,Jester,Stealth,Nat20,20,,,,
C2E002,4:01:50,Beau,Insight,Nat20,20,,,,
C2E002,4:03:12,Jester,Insight,7,4,,,,
C2E003,0:09:27,Beau,Initiative,Nat20,20,,,,
C2E003,0:09:34,Nott,Initiative,Nat1,1,,,,
C2E003,0:09:41,Jester,Initiative,Nat1,1,,,,
C2E003,0:10:03,Caleb,Initiative,11,10,,,,
C2E003,0:10:11,Molly,Initiative,8,5,,,,
C2E003,0:10:18,Fjord,Initiative,3,3,,,,
C2E003,0:15:10,Beau,Athletics,9,5,,,,
C2E003,0:15:25,Beau,Damage,8,,,8 to Zombie 1,,
C2E003,0:16:05,Beau,Attack,19,13,,,,Unarmed Strike
C2E003,0:16:11,Beau,Attack,Nat1,1,,,,Unarmed Strike
C2E003,0:17:22,Caleb,Spell Attack,23,17,,,,Chromatic Orb (Cold)
C2E003,0:17:33,Caleb,Damage,9,,,9 Cold to Zombie 1,,
C2E003,0:19:00,Molly,Attack,20,15,,,,Scimitar
C2E003,0:19:00,Molly,Attack,Nat20,20,Y,,,Scimitar
C2E003,0:19:32,Molly,Damage,9,,,9 to Zombie 1,,
C2E003,0:19:42,Molly,Damage,13,,,13 to Zombie 1,1,
C2E003,0:21:09,Molly,Damage,3,,,3 to Molly,,Blood Curse of the Eyeless (amplified)
C2E003,0:22:36,Nott,Attack,17,11,,,,Hand Crossbow SA
C2E003,0:23:02,Nott,Damage,9,,,9 (7 + 2 Fury of the Small) to Zombie 2,,
C2E003,0:23:06,Nott,Damage,2,,,2 to Zombie 2,,Sneak Attack
C2E003,0:25:14,Fjord,Spell Attack,14,8,,,,Eldtritch Blast
C2E003,0:25:23,Fjord,Damage,9,,,9 to Zombie 2,,
C2E003,0:26:26,Beau,Attack,13,7,,,,Staff
C2E003,0:26:39,Beau,Damage,11,,,11 to Zombie 2,,
C2E003,0:27:17,Beau,Attack,16,10,,,,Unarmed Strike
C2E003,0:27:30,Beau,Damage,6,,,6 to Zombie 2,,
C2E003,0:28:23,Caleb,Spell Attack,17,11,,,,Fire Bolt
C2E003,0:28:31,Caleb,Damage,4,,,4 Fire to Zombie 2,,
C2E003,0:29:46,Molly,Attack,8,3,,,,Scimitar
C2E003,0:29:50,Molly,Attack,16,11,,,,Scimitar
C2E003,0:29:55,Molly,Damage,9,,,9 to Zombie 2,,
C2E003,0:32:34,Nott,Attack,Nat20,20,Y,,1,Hand Crossbow (HDYWTDT)
C2E003,0:36:07,Jester,Medicine,9,4,,,,
C2E003,0:36:44,Nott,Perception,Nat20,20,,,,
C2E003,0:40:34,Nott,Religion,Nat1,1,,,,
C2E003,0:44:41,Fjord,Perception,14,14,,,,
C2E003,0:52:50,Beau,Perception,Nat20,20,,,,
C2E003,0:55:50,Fjord,Survival,3,5,,,,
C2E003,0:57:45,Beau,Survival,8,5,,,,
C2E003,0:59:32,Jester,Survival,11,8,,,,
C2E003,1:00:18,Fjord,Investigation,14,10,,,,
C2E003,1:02:01,Molly,Hit Dice,11,,,,,Molly heals 11 points
C2E003,1:03:31,Molly,Survival,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,1:03:31,Molly,Survival,18,15,,,,With advantage
C2E003,1:06:10,Molly,Religion,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,1:06:10,Molly,Religion,15,15,,,,With advantage
C2E003,1:10:03,Beau,Animal Handling,6,3,,,,
C2E003,1:10:46,Molly,Animal Handling,9,6,,,,
C2E003,1:11:11,Jester,Animal Handling,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,1:11:11,Jester,Animal Handling,13,10,,,,With advantage
C2E003,1:12:00,Molly,Stealth,Nat20,20,,,,
C2E003,1:12:29,Fjord,Stealth,18,18,,,,
C2E003,1:12:32,Caleb,Stealth,16,15,,,,
C2E003,1:12:34,Beau,Stealth,17,11,,,,
C2E003,1:12:35,Jester,Stealth,18,15,,,,
C2E003,1:18:19,Nott,Intelligence,8,5,,,,
C2E003,1:23:37,Nott,Stealth,11,3,,,,With advantage
C2E003,1:23:37,Nott,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,1:31:25,Molly,Religion,9,9,,,,
C2E003,1:31:26,Jester,Religion,14,13,,,,
C2E003,1:44:18,Frumpkin,Perception,Nat6,6,,,,
C2E003,1:45:05,Frumpkin,Perception,Nat5,5,,,,
C2E003,1:46:59,Nott,Intelligence,Nat1,1,,,,
C2E003,2:00:22,Fjord,Deception,15,9,,,,
C2E003,2:00:54,Beau,Stealth,Nat1,1,,,,
C2E003,2:00:57,Molly,Stealth,18,15,,,,
C2E003,2:00:57,Jester,Stealth,21,18,,,,
C2E003,2:12:07,Fjord,Perception,13,13,,,,
C2E003,2:12:07,Beau,Perception,Unknown,Unknown,,,,
C2E003,2:12:23,Molly,Perception,8,5,,,,
C2E003,2:12:24,Caleb,Perception,20,17,,,,
C2E003,2:30:24,Jester,Deception,14,11,,,,
C2E003,2:32:27,Molly,Survival,8,5,,,,
C2E003,2:33:28,Frumpkin,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
C2E003,2:33:28,Frumpkin,Perception,7,4,,,,With disadvantage
C2E003,2:34:07,Beau,Perception,8,5,,,,Same natural roll as the Investigation check afterwards
C2E003,2:34:22,Beau,Investigation,7,5,,,,
C2E003,2:36:35,Jester,Stealth,17,14,,,,
C2E003,2:36:36,Molly,Stealth,19,16,,,,
C2E003,2:36:37,Fjord,Stealth,16,16,,,,
C2E003,2:36:38,Beau,Stealth,17,11,,,,
C2E003,2:36:39,Caleb,Stealth,15,14,,,,
C2E003,2:36:39,Nott,Stealth,16,8,,,,
C2E003,2:39:12,Beau,Perception,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,2:39:12,Beau,Perception,20,17,,,,With advantage
C2E003,2:41:46,Molly,Perception,6,3,,,,
C2E003,2:44:46,Molly,Initiative,18,15,,,,
C2E003,2:44:47,Beau,Initiative,16,12,,,,
C2E003,2:45:00,Jester,Initiative,16,13,,,,
C2E003,2:45:03,Caleb,Initiative,15,14,,,,
C2E003,2:45:24,Nott,Initiative,11,7,,,,
C2E003,2:45:29,Fjord,Initiative,5,5,,,,
C2E003,2:46:26,Molly,Damage,1,,,1 to Molly,,Rite of the Frozen
C2E003,2:47:49,Beau,Attack,21,15,,,,Staff
C2E003,2:47:57,Beau,Damage,7,,,7 to Kylre,,
C2E003,2:49:32,Nott,Wisdom Save,15,15,,,,Against Toya's singing
C2E003,2:49:35,Beau,Wisdom Save,15,12,,,,Against Toya's singing
C2E003,2:49:36,Molly,Wisdom Save,20,15,,,,Against Toya's singing
C2E003,2:49:38,Fjord,Wisdom Save,17,17,,,,Against Toya's singing
C2E003,2:49:40,Caleb,Wisdom Save,20,15,,,,Against Toya's singing
C2E003,2:49:44,Jester,Wisdom Save,9,4,,,,"Against Toya's singing, Jester has disadvantage on attack rolls for the next round"
C2E003,2:51:47,Beau,Acrobatics,15,9,,,,
C2E003,2:52:14,Beau,Athletics,18,14,,,,
C2E003,2:52:59,Beau,Attack,11,5,,,,Staff to crush Toya's throat
C2E003,2:54:55,Nott,Attack,8,2,,,,Shortsword
C2E003,2:57:27,Fjord,Spell Attack,25,19,,,,Eldritch Blast
C2E003,2:57:42,Fjord,Damage,15,,,15 to Kylre,,
C2E003,2:59:34,Molly,Attack,13,8,,,,Scimitar
C2E003,2:59:46,Molly,Damage,9,,,9 (8 + 1 Cold) to Imp 3,,
C2E003,3:00:33,Molly,Constitution Save,11,9,,4 Poison to Molly,,Against Imp Sting
C2E003,3:01:10,Fjord,Damage,4,,,4 to Kylre,,
C2E003,3:01:58,Molly,Attack,19,14,,,,Scimitar
C2E003,3:02:04,Molly,Damage,7,,,7 to Imp 3,1,
C2E003,3:03:23,Caleb,Wisdom Save,20,15,,4 Psychic to Caleb,,Against Siphon Life
C2E003,3:04:02,Molly,Wisdom Save,16,11,,,,Against Toya's singing
C2E003,3:04:03,Fjord,Wisdom Save,14,14,,,,Against Toya's singing
C2E003,3:04:04,Jester,Wisdom Save,21,16,,,,Against Toya's singing
C2E003,3:04:05,Nott,Wisdom Save,19,19,,,,
C2E003,3:04:06,Beau,Wisdom Save,19,16,,,,Against Toya's singing
C2E003,3:04:10,Caleb,Wisdom Save,23,18,,,,Against Toya's singing
C2E003,3:05:03,Jester,Spell Attack,7,2,,,,Guiding Bolt
C2E003,3:07:09,Beau,Athletics,10,6,,,,
C2E003,3:08:07,Beau,Athletics,16,12,,,,
C2E003,3:08:58,Beau,Attack,24,18,,,,Unarmed Strike
C2E003,3:09:18,Beau,Damage,8,,,8 to Toya,,
C2E003,3:10:52,Caleb,Spell Attack,10,4,,,,Chromatic Orb with disadvantage
C2E003,3:10:52,Caleb,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C2E003,3:12:29,Nott,Attack,19,13,,,,Shortsword SA
C2E003,3:12:39,Nott,Damage,12,,,12 to Kylre,,
C2E003,3:13:57,Fjord,Attack,17,11,,,,Falcion with Wrathful Smite
C2E003,3:14:26,Fjord,Damage,15,,,15 (14 + 1 Psychic) to Kylre,,
C2E003,3:16:26,Caleb,Constitution Save,12,10,,5 Poison to Caleb,,Against Imp Sting
C2E003,3:17:06,Jester,Constitution Save,7,5,,6 Poison to Jester,,Against Imp Sting
C2E003,3:18:43,Molly,Damage,4,,,4 Psychic to Imp 1,,Vicious Mockery
C2E003,3:20:07,Nott,Constitution Save,10,8,,,,Against Kylre
C2E003,3:20:46,Nott,Attack,22,16,,,,Shortsword AoO
C2E003,3:20:48,Fjord,Attack,18,12,,,,Falchion AoO
C2E003,3:21:04,Nott,Damage,11,,,11 to Kylre,,
C2E003,3:21:23,Fjord,Damage,16,,,16 to Kylre,,
C2E003,3:24:07,Jester,Healing,9,,,,,"Cure Wounds (1st), Jester heals 9 points"
C2E003,3:25:43,Caleb,Death Save,Unknown,Unknown,,,,Success
C2E003,3:26:07,Nott,Attack,10,4,,,,Hand Crossbow
C2E003,3:27:10,Fjord,Spell Attack,23,17,,,,Eldritch Blast
C2E003,3:27:30,Fjord,Damage,14,,,14 to Kylre,1,HDYWTDT
C2E003,3:30:07,Fjord,Constitution Save,6,2,,14 Poison to Fjord,,Against Imp Sting
C2E003,3:31:20,Molly,Attack,10,5,,,,Scimitar
C2E003,3:31:20,Molly,Attack,Unknown,Unknown,,,,Scimitar
C2E003,3:32:32,Jester,Damage,6,,,6 to Imp 1,1,Word of Radiance
C2E003,3:34:40,Beau,Attack,10,4,,,,Rock throw with disadvantage
C2E003,3:34:40,Beau,Attack,14,8,,,,Disregarded due to disadvantage
C2E003,3:35:03,Caleb,Death Save,Unknown,Unknown,,,,Success
C2E003,3:35:25,Nott,Attack,Nat1,1,,,,Hand Crossbow
C2E003,3:35:35,Nott,Attack,Nat6,6,,,,Hand Crossbow
C2E003,3:36:30,Fjord,Death Save,3,3,,,,Failure
C2E003,3:37:41,Molly,Attack,11,6,,,,Scimitar
C2E003,3:37:41,Molly,Attack,Unknown,Unknown,,,,Scimitar
C2E003,3:39:12,Beau,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C2E003,3:39:12,Beau,Attack,21,15,,,,Staff with advantage
C2E003,3:39:26,Beau,Damage,12,,,12 to Imp 2,1,
C2E003,3:39:54,Jester,Healing,5,,,,,"Cure Wounds (1st), Fjord heals 5 points, is conscious"
C2E003,3:40:09,Caleb,Death Save,Unknown,Unknown,,,,Failure
C2E003,3:40:13,Nott,Medicine,Nat20,20,,,,Caleb is conscious
C2E003,3:42:27,Jester,Investigation,14,13,,,,
C2E003,3:47:24,Nott,Sleight of Hand,26,18,,,,
C2E004,0:17:32,Molly,Acrobatics,9,4,,,,
C2E004,0:34:31,Caleb,Persuasion,6,3,,,,
C2E004,0:38:15,Fjord,Deception,Unknown,Unknown,,,,Disregarded due to advantage
C2E004,0:38:15,Fjord,Deception,20,14,,,,With advantage
C2E004,0:38:56,Jester,Strength,8,5,,,,
C2E004,0:43:00,Beau,Stealth,10,4,,,,
C2E004,0:43:04,Jester,Stealth,7,4,,,,
C2E004,0:43:08,Nott,Stealth,26,18,,,,
C2E004,0:44:44,Jester,Deception,Unknown,Unknown,,,,Disregarded due to disadvantage
C2E004,0:44:44,Jester,Deception,8,5,,,,With disadvantage
C2E004,0:45:35,Jester,Sleight of Hand,Nat20,20,,,,
C2E004,0:47:57,Nott,Deception,0,3,,,,
C2E004,0:48:58,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C2E004,0:58:58,Molly,Stealth,13,5,,,,With advantage
C2E004,0:50:33,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C2E004,0:50:33,Molly,Stealth,22,19,,,,With advantage
C2E004,0:52:16,Caleb,Intimidation,9,,,,,
C2E004,0:56:48,Caleb,Persuasion,11,8,,,,
C2E004,1:01:19,Molly,Stealth,19,16,,,,
C2E004,1:13:09,Caleb,Persuasion,11,8,,,,
C2E004,1:15:29,Molly,Persuasion,12,12,,,,
C2E004,1:15:32,Yasha,Persuasion,11,13,,,,
C2E004,1:17:48,Nott,Persuasion,1,4,,,,
C2E004,1:28:19,Beau,Perception,10,7,,,,
C2E004,1:47:16,Molly,Intimidation,14,14,,,,
C2E004,1:47:33,Caleb,Persuasion,14,11,,,,
C2E004,2:21:00,Beau,Attack,12,6,,,,Unarmed Strike
C2E004,2:22:13,Beau,Attack,Nat20,20,Y,,,Unarmed Strike
C2E004,2:22:13,Beau,Attack,Nat20,20,Y,,,Unarmed Strike
C2E004,2:22:13,Beau,Attack,23,17,,,,Unarmed Strike
C2E004,2:22:51,Beau,Damage,10,,,10 to Dairon,,
C2E004,2:22:51,Beau,Damage,8,,,8 to Dairon,,
C2E004,2:23:02,Beau,Damage,5,,,5 to Dairon,,
C2E004,2:24:25,Beau,Constitution Save,10,7,,,,Against Extract Aspects
C2E004,2:25:27,Beau,Attack,9,3,,,,Unarmed Strike
C2E004,2:25:56,Beau,Attack,21,15,,,,Unarmed Strike
C2E004,2:26:22,Beau,Damage,8,,,8 to Dairon,,
C2E004,2:28:19,Beau,Constitution Save,12,9,,,,Against Stunning Strike
C2E004,2:35:42,Jester,Medicine,20,15,,,,
C2E004,2:38:41,Fjord,Insight,11,13,,,,
C2E004,2:38:41,Jester,Insight,15,12,,,,
C2E004,2:38:41,Molly,Insight,11,6,,,,
C2E004,2:38:52,Caleb,Persuasion,Nat20,20,,,,
C2E004,2:39:50,Jester,Dexterity,15,12,,,,
C2E004,2:43:19,Caleb,Persuasion,Nat20,20,,,,
C2E004,2:44:20,Nott,Investigation,10,5,,,,
C2E004,2:45:10,Nott,Sleight of Hand,24,16,,,,
C2E004,2:47:10,Caleb,Charisma,11,8,,,,
C2E004,2:49:39,Caleb,Persuasion,12,9,,,,
C2E004,2:55:17,Nott,Thieves' Tools,14,8,,,,
C2E004,3:01:15,Jester,Sleight of Hand,23,18,,,,
C2E004,3:14:21,Yasha,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
C2E004,3:14:21,Yasha,Persuasion,3,5,,,,With disadvantage
C2E004,3:15:33,Molly,Persuasion,19,19,,,,
C2E004,3:18:01,Beau,Insight,18,13,,,,
C2E004,3:21:08,Fjord,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
C2E004,3:21:08,Fjord,Persuasion,21,17,,,,With advantage
C2E004,3:37:46,Beau,Deception,19,16,,,,
C2E004,3:41:26,Nott,Animal Handling,Unknown,Unknown,,,,Disregarded due to advantage
C2E004,3:41:26,Nott,Animal Handling,6,6,,,,With advantage
C2E005,0:11:37,Fjord,Perception,16,16,,,,
C2E005,0:17:49,Caleb,Perception,5,2,,,,
C2E005,0:19:16,Nott,Perception,9,9,,,,
C2E005,0:19:17,Molly,Perception,20,17,,,,
C2E005,0:19:18,Jester,Perception,5,2,,,,
C2E005,0:19:18,Beau,Perception,17,14,,,,
C2E005,0:22:44,Beau,Perception,19,16,,,,
C2E005,0:23:39,Molly,Insight,19,14,,,,
C2E005,0:27:42,Beau,Perception,18,15,,,,
C2E005,0:27:42,Molly,Perception,8,5,,,,
C2E005,0:31:45,Caleb,Perception,9,6,,,,
C2E005,0:32:40,Beau,Investigation,18,16,,,,
C2E005,0:38:38,Jester,Perception,Nat1,1,,,,
C2E005,0:39:35,Caleb,Perception,19,16,,,,
C2E005,0:42:20,Nott,Stealth,26,18,,,,
C2E005,0:46:09,Nott,Stealth,12,4,,,,
C2E005,0:46:10,Beau,Stealth,11,5,,,,
C2E005,0:46:10,Caleb,Stealth,16,15,,,,
C2E005,0:46:10,Fjord,Stealth,11,11,,,,
C2E005,0:47:01,Beau,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
C2E005,0:47:01,Beau,Perception,6,3,,,,With disadvantage
C2E005,0:47:04,Fjord,Perception,13,13,,,,
C2E005,0:47:53,Molly,Perception,6,3,,,,
C2E005,0:57:29,Caleb,Insight,22,17,,,,
C2E005,1:04:19,Caleb,Insight,11,6,,,,
C2E005,1:04:20,Molly,Insight,23,18,,,,
C2E005,1:10:07,Beau,Perception,11,8,,,,
C2E005,1:10:08,Molly,Perception,5,2,,,,
